company_name,headquarters,website,revenue,industries
Vesta Corporation,"175 Powder Forest Dr Ste 201, Weatogue, Connect...",www.vestacorp.com,$54.3 Million,Real Estate 
Vertex Education,"3125 S Gilbert Rd, Chandler, Arizona, 85286, Un...",www.vertexeducation.com,$32.8 Million,Management Consulting ; Business Services 
"AMG Management Group, LLC (IL)","1429 Essington Rd, Joliet, Illinois, 60435, Uni...",www.amgllc1.com,<$5 Million,Business Services General ; Business Services 
The Management Trust (NORCAL) (AAB_4069),"15661 Red Hill Ave Ste 201, Tustin, California,...",www.managementtrust.com,$135.3 Million,Real Estate 
Campbell Property Management and Real Estate Inc. (FL) [AAB_2586),"1215 E Hillsboro Blvd, Deerfield Beach, Florida...",www.campbellpropertymanagement.com,$262.4 Million,Real Estate 
Vanguard Management Associtates Inc,"9300 N 16th St Ste 101, Tampa, Florida, 33612, ...",www.vanguardmanagementgroup.com,<$5 Million,Real Estate 
Lighthouse Management (AAB_1092),"4224 Henderson Blvd, Tampa, Florida, 33629, Uni...",lighthouse.insurance,$75 Million,Insurance 
Homeowners Association Management (AAB_0931),,,,
"F. David Sylvester & Associates, Inc. (PA)",,,,N/A
Access Management Group (AAB_0502),"1100 Northmeadow Pkwy Ste 114, Roswell, Georgia...",www.accessmgt.com,$22.1 Million,Real Estate 
The Management Trust (CO) (AAB_0328),"15661 Red Hill Ave Ste 201, Tustin, California,...",www.managementtrust.com,$135.3 Million,Real Estate 
The Management Trust (NV) (AAB_0327),"15661 Red Hill Ave Ste 201, Tustin, California,...",www.managementtrust.com,$135.3 Million,Real Estate 
The Management Trust (CA) (AAB_0326),"15661 Red Hill Ave Ste 201, Tustin, California,...",www.managementtrust.com,$135.3 Million,Real Estate 
Lease Complete,"Water Ln, Wilmslow West And Chorley Ward, Chesh...",www.completeleasing.co.uk,$15.9 Million,Automotive Service & Collision Repair ; Consumer Services 
Woodbury,"2733 E Parleys Way Ste 300, Salt Lake City, Uta...",www.woodburycorp.com,$216 Million,Hospitality General ; Hospitality 
Virgin Valley Disposal,"501 Riverside Rd, Mesquite, Nevada, 89027, Unit...",www.vvdisposal.com,<$5 Million,"Energy, Utilities & Waste Treatment General ; Energy, Utilities & Waste Treatment "
Easter Seals Nevada,"141 W Jackson Blvd Ste 1400A, Chicago, Illinois...",www.easterseals.com,$15.1 Billion,Charitable Organizations & Foundations ; Organizations 
Ultimate Software - Astadia Inc,,,,N/A
Ultimate Software - One Door Inc,"268 Summer St Ste 800, Boston, Massachusetts, 0...",www.onedoor.com,$15.8 Million,Supply Chain Management (SCM) Software ; Software Development & Design ; Software 
UA Local 467 Health and Welfare Trust Fund,"1519 Rollins Rd Fl 1, Burlingame, California, 9...",www.ualocal467.org,<$5 Million,Membership Organizations ; Organizations 
Supernova,"3014 Revere St, Bealeton, Virginia, 22712, Unit...",supernova.xyz,$12.6 Million,Hair Salons ; Consumer Services 
Stearns Ventures,"5150 International Dr, Cudahy, Wisconsin, 53110...",www.stearnsbrakes.com,<$5 Million,Industrial Machinery & Equipment ; Manufacturing 
OnDemand,"13681 Newport Ave Ste 8-356, Tustin, California...",www.ondemand-inc.com,<$5 Million,Telecommunications General ; Telecommunications 
MineralTree,"101 Arch St Fl 9, Boston, Massachusetts, 02110,...",www.mineraltree.com,$37.8 Million,Software Development & Design ; Software 
ManPay,"Shinwakaura, Wakayama, Japan",www.manpa.co.jp,<$5 Million,Hospitality General ; Hospitality 
InDinero Inc,"440 N Barranca Ave 4637, Covina, California, 91...",www.indinero.com,$63 Million,Accounting & Accounting Services ; Business Services 
Finxera,"55 S Market St Ste 1220, San Jose, California, ...",www.finxera.com,$58.9 Million,Software General ; Software 
Evergreen Moneysource Mortgage,"15405 SE 37th St Ste 200, Bellevue, Washington,...",www.evergreenhomeloans.com,$211 Million,Banking ; Finance 
Benesys Inc,"700 Tower Dr Ste 300, Troy, Michigan, 48098, Un...",www.benesys.com,$35.1 Million,Software & Technical Consulting ; Software 
CiraConnect,"PO Box 803555, Dallas, Texas, 75380, United Sta...",www.ciraconnect.com,$22.6 Million,Real Estate 
Community Management Specialists (AAB_0639),"71 S Central Ave, Oviedo, Florida, 32765, Unite...",www.cmsorlando.com,$9.1 Million,Membership Organizations ; Organizations 
TransFirst,"5250 International Dr, Orlando, Florida, 32819,...",www.transfirstmedia.com,<$5 Million,Advertising & Marketing ; Business Services 
ACH Generic,"83 Hagley Rd, Birmingham, West Midlands, B16 8Q...",www.ach.org.uk,$9.6 Million,Charitable Organizations & Foundations ; Organizations 
"AP - WAB Equip Fin, REIT, CS Ins","1550 Parkside Dr Ste 240, Walnut Creek, Califor...",www.apfinancing.com,$19.1 Million,Banking ; Finance 
BillTrust - R&B,,,,N/A
BillTrust - Vaportherm,"100 Domain Dr, Exeter, New Hampshire, 03833, Un...",www.vapotherm.com,$68.7 Million,Medical Devices & Equipment ; Manufacturing 
Uoex Group Inc.,"5 Sokolská, Ústí nad Orlicí, Pardubicky, 562 04...",www.uotex.cz,<$5 Million,Business Services General ; Business Services 
ComputerShare,"452 Yarra Fls, Abbotsford, Victoria, 3067, Aust...",www.computershare.com,$3.2 Billion,Investment Banking ; Finance 
Pax Labs,"660 Alabama St Ste 2, San Francisco, California...",www.pax.com,$39 Million,"Flowers, Gifts & Specialty Stores ; Retail "
Flagstar as subservice for Aurora,"5151 Corporate Dr, Troy, Michigan, 48098, Unite...",www.flagstar.com,$3.6 Billion,Banking ; Finance 
Mixpanel Inc,"1 Front St Fl 28, San Francisco, California, 94...",www.mixpanel.com,$63 Million,Business Intelligence (BI) Software ; Software Development & Design ; Software 
Velocity Clinical Research,"807 E Main St Ste 6100, Durham, North Carolina,...",www.velocityclinical.com,$174.2 Million,Medical Testing & Clinical Laboratories ; Healthcare 
Westgate Vacation Villas Owners,"2801 Old Winter Garden Rd, Ocoee, Florida, 3476...",www.westgateresorts.com,$1.3 Billion,Hospitality General ; Hospitality 
CG Technology LP,"2575 S Highland Dr, Las Vegas, Nevada, 89109, U...",www.cgsportsbooks.com,$27 Million,Gambling & Gaming ; Recreation ; Hospitality 
Plaza Home Mortgage,"9808 Scranton Rd Ste 3000, San Diego, Californi...",www.plazahomemortgage.com,$347.5 Million,Brokerage ; Finance 
FarmOp Capital LLC,"30 7th St E Ste 2650, Saint Paul, Minnesota, 55...",www.farmop.com,$8.3 Million,Finance General ; Finance 
American Pacific Mortgage,"3000 Lava Ridge Ct Ste 200, Roseville, Californ...",www.apmortgage.com,$981.1 Million,Brokerage ; Finance 
SC East Landco LLC,"1141 Capuchino Ave, Burlingame, California, 940...",www.landcorealestate.com,<$5 Million,Real Estate 
Xmedius America Inc.,"3000-1 Place Ville-marie, Montreal, Quebec, H3B...",www.xmedius.com,$21.8 Million,Content & Collaboration Software ; Software Development & Design ; Software 
Finance of America Commercial LLC,"6230 Fairview Rd Ste 300, Charlotte, North Caro...",www.foacommercial.com,$7.4 Million,Brokerage ; Finance 
Arbor Agency Lending LLC,"333 Earle Ovington Blvd Ste 900, Uniondale, New...",www.arbor.com,$721 Million,Brokerage ; Finance 
FirstService Residential Charleston (AAB_7633),"1855 Griffin Rd Ste A330, Dania, Florida, 33004...",www.fsresidential.com,$8.3 Billion,Real Estate 
CrossCountry Mortgage,"2160 Superior Ave E, Cleveland, Ohio, 44114, Un...",www.ccm.com,$21.7 Million,Brokerage ; Finance 
Pico Quantitative Trading Holdings,"32 Old Slip Fl 16, New York City, New York, 100...",www.pico.net,$57.6 Million,Business Intelligence (BI) Software ; Software Development & Design ; Software 
AG Essential Housing Company SVP 4 LLC,"3 Rue Paulin Talabot Cedex, Saint-Ouen, Ile-de-...",www.svp.com,$5.6 Million,Business Services General ; Business Services 
Pingora Loan Servicing LLC,"1755 Blake St Ste 200, Denver, Colorado, 80202,...",www.pingorafund.com,$6.4 Million,Finance General ; Finance 
Inpoint Commercial Real Estate,"PO Box 1944, Taylors Lakes, Victoria, 3038, Aus...",www.onpointcommercial.com.au,<$5 Million,Real Estate 
Security 1st Title of Nevada LLC,"727 N Waco Ave Ste 300, Wichita, Kansas, 67203,...",www.security1st.com,$241.8 Million,Real Estate 
DS Deco Central LLC,"1632 Virginia Beach Blvd, Virginia Beach, Virgi...",www.deco-inc.com,<$5 Million,Government 
FirstService Residential Florida (FL) (AAB_4466),,,,N/A
